seed,regime,output,fixed_var,fixed_value,repeat,method,n_train,n_test,rmse,mae,r2
42,noise_free,Output1,X1,1.0,0,cubic,9,3,0.023153106834232197,0.019050108829941664,0.9981223377451341
42,noise_free,Output1,X1,1.0,0,rbf,9,3,0.013894248193629444,0.011861625564336972,0.9993238095551601
42,noise_free,Output1,X1,1.0,1,rbf,9,3,0.014675857743277046,0.014283248708375792,0.9889332176058899
42,noise_free,Output1,X1,1.0,2,cubic,9,3,0.015841034989455393,0.010780726302041263,0.9993324557338351
42,noise_free,Output1,X1,1.0,2,rbf,9,3,0.017483442079894617,0.015287974382859485,0.9991868571610564
42,noise_free,Output1,X1,1.0,3,rbf,9,3,0.035287059574517804,0.02484050451762328,0.9949602284115953
42,noise_free,Output1,X1,1.0,4,rbf,9,3,0.03672173785550083,0.028926386675757237,0.9979761241494232
42,noise_free,Output1,X1,1.0,5,rbf,9,3,0.039310067992758366,0.03331301944092887,0.9982979642441391
42,noise_free,Output1,X1,1.0,6,rbf,9,3,0.020893936148372063,0.016776801686758585,0.9969873917581166
42,noise_free,Output1,X1,1.0,7,cubic,9,3,0.01588486114416205,0.009993959755001244,0.9987703672085867
42,noise_free,Output1,X1,1.0,7,rbf,9,3,0.010238913259031467,0.00970590985890533,0.999489123038504
42,noise_free,Output1,X1,1.0,8,cubic,9,3,0.000538041746236335,0.00044172638482701626,0.9999970735606437
42,noise_free,Output1,X1,1.0,8,rbf,9,3,0.021203963309120652,0.018969978475243437,0.9954549185558642
42,noise_free,Output1,X1,1.0,9,rbf,9,3,0.021406065670466413,0.019684508383233396,0.9966638185890156
42,noise_free,Output1,X1,1.0,10,rbf,9,3,0.015580707992390069,0.015227165871870637,0.9994821705450577
42,noise_free,Output1,X1,1.0,11,rbf,9,3,0.03713588918174572,0.026903621836801322,0.9967048961365232
42,noise_free,Output1,X1,1.0,12,rbf,9,3,0.019546639615839426,0.018372700142666787,0.9988700102705674
42,noise_free,Output1,X1,1.0,13,rbf,9,3,0.05209329994172192,0.05025013631117511,0.9941462268032082
42,noise_free,Output1,X1,1.0,14,rbf,9,3,0.044438933785936365,0.03974286457625479,0.996033588164782
42,noise_free,Output1,X1,1.0,15,rbf,9,3,0.017932808030788488,0.017305871676740248,0.9986978070514486
42,noise_free,Output1,X1,1.0,16,rbf,9,3,0.058937650398794464,0.057957934234912245,0.9972334510524148
42,noise_free,Output1,X1,1.0,17,rbf,9,3,0.03714925942862599,0.0265010432626032,0.9969520291164937
42,noise_free,Output1,X1,1.0,18,rbf,9,3,0.02365097593671701,0.022825402853594873,0.9980400533401677
42,noise_free,Output1,X1,1.0,19,cubic,9,3,0.021629980363230623,0.016704799676507953,0.998966708770159
42,noise_free,Output1,X1,1.0,19,rbf,9,3,0.011387310683341471,0.009236661294388012,0.9997136133083178
42,noise_free,Output1,X1,1.0,20,rbf,9,3,0.0299018357263257,0.020439317898919358,0.9982938627708079
42,noise_free,Output1,X1,1.0,21,cubic,9,3,0.023153124932124295,0.019050126489602432,0.9985145312742626
42,noise_free,Output1,X1,1.0,21,rbf,9,3,0.015914132350311118,0.013425074218734586,0.9992982050907249
42,noise_free,Output1,X1,1.0,22,cubic,9,3,0.01636830238926936,0.009525023615490458,0.9995393139480385
42,noise_free,Output1,X1,1.0,22,rbf,9,3,0.018929056736423953,0.018500620071897567,0.9993838935859376
42,noise_free,Output1,X1,1.0,23,rbf,9,3,0.03318044946911868,0.029144141658336748,0.998324220872952
42,noise_free,Output1,X1,1.0,24,cubic,9,3,0.0009349964658962138,0.0005800991043591885,0.9999981142153709
42,noise_free,Output1,X1,1.0,24,rbf,9,3,0.016125943352017964,0.015952082612478897,0.9994390522471502
42,noise_free,Output1,X1,1.0,25,rbf,9,3,0.098244440942922,0.08400175986523195,0.9931389517004496
42,noise_free,Output1,X1,1.0,26,cubic,9,3,0.04295289857716742,0.04176902457710111,0.9750931548015642
42,noise_free,Output1,X1,1.0,26,rbf,9,3,0.041528910357885654,0.03706211089248993,0.9767172196605705
42,noise_free,Output1,X1,1.0,27,rbf,9,3,0.09259689858841968,0.07095577796587194,0.9874751397444025
42,noise_free,Output1,X1,1.0,28,rbf,9,3,0.026441350671657385,0.023727961463030356,0.9640460633507756
42,noise_free,Output1,X1,1.0,29,rbf,9,3,0.022984306306648383,0.022483199710363683,0.9946596418577925
42,noise_free,Output1,X1,1.0,30,rbf,9,3,0.020893936148368108,0.016776801686755327,0.9969873917581177
42,noise_free,Output1,X1,1.0,31,rbf,9,3,0.05003609455920134,0.04373277202115514,0.9980491795000523
42,noise_free,Output1,X1,1.0,32,rbf,9,3,0.020749353964053533,0.016662625486553544,0.9968653784852566
42,noise_free,Output1,X1,1.0,33,rbf,9,3,0.016892220388145137,0.016730116588900668,0.9995870150551635
42,noise_free,Output1,X1,1.0,34,rbf,9,3,0.11848883900052998,0.09532102208040664,0.8977811855787423
42,noise_free,Output1,X1,1.0,35,rbf,9,3,0.012088018751574186,0.010227164400926636,0.9987413623623969
42,noise_free,Output1,X1,1.0,36,rbf,9,3,0.10610468682950762,0.08713244986617363,0.8861909711517276
42,noise_free,Output1,X1,1.0,37,rbf,9,3,0.02074935396405779,0.01666262548655621,0.9968653784852552
42,noise_free,Output1,X1,1.0,38,rbf,9,3,0.09254533641962143,0.07311416089383056,0.9834704390181698
42,noise_free,Output1,X1,1.0,39,rbf,9,3,0.02760989377686734,0.02664325490503372,0.997444901818124
42,noise_free,Output1,X1,1.3333333333333333,0,cubic,9,3,0.02122857576962278,0.016427921663431988,0.9978815352867824
42,noise_free,Output1,X1,1.3333333333333333,0,rbf,9,3,0.024167698390342437,0.022798994551634404,0.9972543188462982
42,noise_free,Output1,X1,1.3333333333333333,1,cubic,9,3,0.02177469938031208,0.01694726055754418,0.9982463647988995
42,noise_free,Output1,X1,1.3333333333333333,1,rbf,9,3,0.009918921652658674,0.009162299019496464,0.9996361152639173
42,noise_free,Output1,X1,1.3333333333333333,2,rbf,9,3,0.023473341334796595,0.022940919639692876,0.9988408040353591
42,noise_free,Output1,X1,1.3333333333333333,3,rbf,9,3,0.04566559932632796,0.03814225897228033,0.9896690255037142
42,noise_free,Output1,X1,1.3333333333333333,4,cubic,9,3,0.016219281422400523,0.009721176346524066,0.9994716353384867
42,noise_free,Output1,X1,1.3333333333333333,4,rbf,9,3,0.02263395570509056,0.02173668435324716,0.9989710566429935
42,noise_free,Output1,X1,1.3333333333333333,5,rbf,9,3,0.1017595569806602,0.07666633430563537,0.9617011852443608
42,noise_free,Output1,X1,1.3333333333333333,6,rbf,9,3,0.03146225028152767,0.02485122081713727,0.9978886849312717
42,noise_free,Output1,X1,1.3333333333333333,7,rbf,9,3,0.015128523921670151,0.013278507640946883,0.999226899163567
42,noise_free,Output1,X1,1.3333333333333333,8,rbf,9,3,0.019902002054137235,0.01944428341096316,0.9986620602277821
42,noise_free,Output1,X1,1.3333333333333333,9,rbf,9,3,0.017984653930380595,0.01744918262572807,0.9992429964542217
42,noise_free,Output1,X1,1.3333333333333333,10,rbf,9,3,0.03603764149190942,0.03389960959573246,0.9987761658863555
42,noise_free,Output1,X1,1.3333333333333333,11,rbf,9,3,0.07718487780305229,0.07432445870016346,0.9655315761229113
42,noise_free,Output1,X1,1.3333333333333333,12,rbf,9,3,0.03603764149190805,0.03389960959573098,0.9987761658863556
42,noise_free,Output1,X1,1.3333333333333333,13,cubic,9,3,0.021993378643190363,0.017074742744414156,0.9989316971294063
42,noise_free,Output1,X1,1.3333333333333333,13,rbf,9,3,0.011387310683344927,0.009236661294388751,0.9997136133083175
42,noise_free,Output1,X1,1.3333333333333333,14,rbf,9,3,0.022683941051142388,0.021404247814418447,0.9982752937332504
42,noise_free,Output1,X1,1.3333333333333333,15,rbf,9,3,0.03974543505692266,0.03481963426494916,0.9972837340186521
42,noise_free,Output1,X1,1.3333333333333333,16,rbf,9,3,0.03837675519079075,0.03188189217146409,0.9977971972548206
